سؤال,شماره دامنه,شماره سؤال,عنوان دامنه,گزینه ۰,گزینه ۱,گزینه ۲,گزینه ۳
وقتی مشتری از خریدش راضی است، آیا از او می‌خواهید شما را به دیگران معرفی کند یا راهی برای معرفی آسان دارید؟,13,4,وفاداری مشتری,نه، معمولاً درخواست معرفی نمی‌کنیم.,گاهی از مشتری‌های راضی درخواست معرفی می‌کنیم.,تا حدی مسیر معرفی یا درخواست نظر داریم.,سیستم مشخصی برای تبدیل مشتری راضی به معرفی، نظر یا سوشال پروف داریم.
بعد از خرید، معمولاً می‌فهمید مشتری واقعاً راضی بوده یا نه؟,13,2,وفاداری مشتری,نه، مگر اینکه خودش شکایت کند.,گاهی از بعضی مشتری‌ها می‌پرسیم.,در بیشتر موارد رضایت مشتری را می‌سنجیم.,رضایت، نارضایتی و بازخورد مشتری ثبت و تحلیل می‌شود.
بعد از خرید اول، آیا برای اینکه مشتری دوباره خرید کند یا پیشنهاد مناسب بعدی را ببیند برنامه‌ای دارید؟,13,3,وفاداری مشتری,نه، خرید مجدد اتفاقی است.,گاهی پیشنهاد بعدی می‌دهیم.,برای بعضی محصولات یا مشتری‌ها پیشنهاد بعدی داریم.,مسیر خرید مجدد، پیشنهاد مکمل و زمان مناسب ارتباط طراحی شده است.
بعد از اینکه مشتری از شما خرید می‌کند، معمولاً ارتباط شما با او ادامه پیدا می‌کند؟,13,1,وفاداری مشتری,نه، معمولاً بعد از خرید ارتباط قطع می‌شود.,فقط اگر مشتری خودش پیام بدهد یا مشکلی داشته باشد.,گاهی بعد از خرید پیگیری می‌کنیم.,مسیر مشخصی برای ارتباط بعد از خرید وجود دارد.
اگر مشتری از پیج، سایت، دایرکت، تماس، واتساپ یا فروشنده سؤال بپرسد، معمولاً جواب‌های هماهنگ و واضح می‌گیرد؟,14,1,یکپارچگی Touchpoint,نه، جواب‌ها متفاوت و گاهی متناقض‌اند.,بعضی جواب‌ها هماهنگ‌اند، اما بستگی به فرد دارد.,در بیشتر کانال‌ها جواب‌ها نسبتاً هماهنگ‌اند.,پیام، پاسخ و اطلاعات اصلی در همه کانال‌ها یکدست و مستند است.
بعد از هر ارتباط با مشتری، معمولاً مشخص است قدم بعدی چیست؟,14,3,یکپارچگی Touchpoint,نه، مشتری اغلب سردرگم می‌ماند.,گاهی قدم بعدی گفته می‌شود.,در بیشتر ارتباط‌ها قدم بعدی مشخص است.,هر نقطه تماس هدف، پیام و قدم بعدی مشخص دارد.
وقتی مشتری با شما در جاهای مختلف ارتباط می‌گیرد، لحن و برخورد شما معمولاً یکدست و حرفه‌ای است؟,14,2,یکپارچگی Touchpoint,نه، لحن کاملاً وابسته به فرد یا کانال است.,تا حدی حرفه‌ای است، اما یکدست نیست.,بیشتر نقاط تماس لحن نسبتاً یکسان دارند.,لحن، استاندارد پاسخ و تجربه رفتاری در نقاط تماس اصلی تعریف شده است.
آیا از قبل مشخص کرده‌اید مشتری در مسیر آشنایی تا خرید و بعد از خرید، کجاها با شما تماس دارد و در هرجا باید چه تجربه‌ای بگیرد؟,14,4,یکپارچگی Touchpoint,نه، نقاط تماس را ننوشته‌ایم.,بعضی نقاط تماس را می‌شناسیم، اما نقشه کامل نداریم.,نقاط تماس اصلی را مشخص کرده‌ایم.,نقشه کامل نقاط تماس، هدف، پیام، مسئول و حس مطلوب مشتری مشخص است.
وقتی مشتری در ارتباط با شما سردرگم، ناراضی یا معطل می‌شود، آیا متوجه می‌شوید و آن نقطه را اصلاح می‌کنید؟,14,5,یکپارچگی Touchpoint,نه، معمولاً فقط وقتی شکایت جدی شود می‌فهمیم.,گاهی متوجه می‌شویم، اما اصلاح سیستماتیک نیست.,بیشتر مشکلات تجربه مشتری را شناسایی و اصلاح می‌کنیم.,تجربه نقاط تماس به‌صورت منظم پایش، بازخوردگیری و بهینه‌سازی می‌شود.
وقتی یک مشتری جدید با شما تماس می‌گیرد یا پیام می‌دهد، معمولاً می‌دانید اولین بار از کجا با شما آشنا شده؟,15,1,شفافیت مسیر فروش,نه، معمولاً نمی‌دانیم از کجا آمده.,گاهی از خودش می‌پرسیم، اما جایی ثبت نمی‌کنیم.,بیشتر وقت‌ها می‌دانیم از کدام کانال آمده.,دقیق ثبت می‌کنیم و بعداً بررسی می‌کنیم کدام کانال فروش بیشتری ساخته.
وقتی مشتری برای اولین بار شما را می‌بیند، قدم بعدی برایش واضح است؟,15,2,شفافیت مسیر فروش,نه، معمولاً فقط ما را می‌بیند و معلوم نیست بعدش باید چه کار کند.,تا حدی مشخص است، ولی همیشه واضح نیست.,در بیشتر جاها قدم بعدی مشخص است.,در همه کانال‌های اصلی، قدم بعدی کاملاً واضح است و مشتری سردرگم نمی‌شود.
معمولاً می‌دانید مشتری‌ها بیشتر در کدام نقطه منصرف می‌شوند؟,15,3,شفافیت مسیر فروش,نه، فقط می‌بینیم بعضی‌ها نمی‌خرند.,حدس‌هایی داریم، ولی مطمئن نیستیم.,تقریباً می‌دانیم کجا گیر می‌کنند، اما عدد دقیق نداریم.,دقیق می‌دانیم در هر مرحله چند نفر ادامه می‌دهند و چند نفر منصرف می‌شوند.
وقتی تبلیغ، محتوا، پیامک، تماس فروش یا تخفیف اجرا می‌کنید، می‌دانید هرکدام دقیقاً قرار است چه نتیجه‌ای بسازد؟,15,4,شفافیت مسیر فروش,نه، بیشتر کارها را انجام می‌دهیم به امید اینکه فروش بیشتر شود.,برای بعضی کارها هدف داریم، ولی خیلی از فعالیت‌ها جدا از هم اجرا می‌شوند.,بیشتر فعالیت‌ها هدف مشخص دارند.,برای هر فعالیت دقیقاً مشخص است هدفش چیست، قدم بعدی چیست و چطور نتیجه‌اش را می‌سنجیم.
اگر از شما بپرسند ماه آینده حدوداً چقدر فروش خواهید داشت، چقدر می‌توانید با اطمینان جواب بدهید؟,15,5,شفافیت مسیر فروش,تقریباً نمی‌شود گفت؛ بستگی به بازار و اتفاقات ماه دارد.,یک حدس کلی می‌زنیم، بیشتر بر اساس تجربه ماه‌های قبل.,تا حدی می‌توانیم پیش‌بینی کنیم، چون حدوداً می‌دانیم چقدر ورودی و فروش داریم.,نسبتاً دقیق پیش‌بینی می‌کنیم، چون می‌دانیم از هر کانال چند مشتری می‌آید و چند نفرشان خرید می‌کنند.
در یک ماه معمولی، می‌دانید چند نفر واقعاً وارد مسیر خرید از شما می‌شوند؟,16,1,اندازه‌گیری، تحلیل و بهینه‌سازی فروش,نه، تعداد ورودی‌ها را دقیق نمی‌دانیم.,حدودی می‌دانیم، اما ثبت منظم نداریم.,بیشتر ورودی‌ها را ثبت می‌کنیم.,تعداد ورودی‌ها به تفکیک کانال، نوع مشتری و وضعیت خرید ثبت می‌شود.
وقتی مشتری‌ها پیام می‌دهند، تماس می‌گیرند یا قیمت می‌پرسند، می‌دانید از بین آن‌ها چند نفر در نهایت خرید می‌کنند؟,16,2,اندازه‌گیری، تحلیل و بهینه‌سازی فروش,نه، نرخ تبدیل را نمی‌دانیم.,یک حس کلی داریم.,تا حدی نرخ تبدیل پیام، تماس یا استعلام به خرید را می‌دانیم.,نرخ تبدیل مراحل مختلف فروش را منظم اندازه‌گیری می‌کنیم.
وقتی مشتری خرید نمی‌کند، معمولاً می‌دانید در کدام نقطه از مسیر منصرف شده؟,16,3,اندازه‌گیری، تحلیل و بهینه‌سازی فروش,نه، فقط می‌دانیم نخرید.,گاهی حدس می‌زنیم دلیل یا نقطه توقف چه بوده.,در بیشتر موارد نقطه توقف را می‌دانیم.,نقطه ریزش و علت احتمالی آن ثبت و تحلیل می‌شود.
وقتی تبلیغ، محتوا، تخفیف، پیامک، تماس یا کمپین اجرا می‌کنید، می‌دانید کدامشان واقعاً مشتری یا فروش ساخته؟,16,4,اندازه‌گیری، تحلیل و بهینه‌سازی فروش,نه، اثر فعالیت‌ها مشخص نیست.,بعضی نتایج را می‌بینیم، اما کامل به فروش وصل نیست.,بیشتر فعالیت‌ها از نظر ورودی یا فروش بررسی می‌شوند.,اثر هر فعالیت روی سرنخ، کیفیت لید، فروش و سودآوری تحلیل می‌شود.
وقتی متوجه می‌شوید یک بخش از فروش خوب کار نمی‌کند، آیا بر اساس عددها آن را اصلاح می‌کنید و دوباره نتیجه را بررسی می‌کنید؟,16,5,اندازه‌گیری، تحلیل و بهینه‌سازی فروش,نه، اصلاح‌ها بیشتر بر اساس حدس است.,گاهی عددها را نگاه می‌کنیم، اما پیگیری بعد از اصلاح نداریم.,معمولاً بر اساس داده اصلاح می‌کنیم.,چرخه منظم اندازه‌گیری، تحلیل، اصلاح، تست و بهینه‌سازی داریم.
