سؤال,شماره دامنه,عنوان دامنه,شماره سؤال,گزینه ۰,گزینه ۱,گزینه ۲,گزینه ۳,اقدام اصلاحی بخش,تشخیص پشت‌صحنه سؤال,تفسیر امتیاز (بخش),تفسیر امتیاز (سؤال),عارضه‌های تشخیصی بخش
وقتی سرنخ جدید پیام می‌دهد، تماس می‌گیرد یا فرم پر می‌کند، معمولاً چقدر سریع پاسخ می‌گیرد؟,6,سرعت ارتباط اولیه و ثبت سرنخ,1,زمان پاسخ نامنظم است و ممکن است خیلی دیر شود.,معمولاً جواب می‌دهیم، اما استاندارد زمانی مشخص نداریم.,در بیشتر موارد سریع پاسخ می‌دهیم.,زمان پاسخ اولیه استاندارد، اندازه‌گیری‌شده و قابل پیگیری است.,تعیین استاندارد زمان پاسخ اولیه و اندازه‌گیری آن، ثبت همهٔ سرنخ‌ها در یک محل واحد (CRM/جدول) با منبع و وضعیت، تعیین مسئول و زمان پیگیری برای هر سرنخ، و تضمین اینکه هیچ سرنخی بدون اقدام بعدی رها نشود.,استانداردبودن و سرعت پاسخ اولیه به سرنخ را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: سرنخ‌ها پراکنده و رهاشده. ۴–۶ ضعیف: ثبت و پاسخ ناقص. ۷–۹ متوسط: ثبت نسبی. ۱۰–۱۲ سالم: ثبت و مسئولیت مشخص. ۱۳–۱۵ پیشرفته: پاسخ استاندارد، ثبت کامل و پیگیری قابل ردیابی.,۰ بحرانی: زمان پاسخ نامنظم و گاهی خیلی دیر. ۱ ضعیف: پاسخ بدون استاندارد زمانی. ۲ متوسط: بیشتر موارد سریع. ۳ پیشرفته: زمان پاسخ استاندارد و اندازه‌گیری‌شده.,عارضهٔ عملیاتی پاسخ‌گویی و ثبت. ضعف یعنی پاسخ دیر و نامنظم، سرنخ‌های پراکنده و ثبت‌نشده، نبود مسئول مشخص و رهاشدن سرنخ بدون وضعیت. نتیجه: از دست رفتن لید گرم، گم‌شدن فرصت‌ها و بی‌کنترلی پیگیری.
آیا همه سرنخ‌ها در یک محل مشخص ثبت می‌شوند؟,6,سرعت ارتباط اولیه و ثبت سرنخ,2,نه، سرنخ‌ها در دایرکت، واتساپ، تماس یا حافظه افراد پراکنده‌اند.,بعضی سرنخ‌ها ثبت می‌شوند، اما کامل نیست.,بیشتر سرنخ‌ها در یک فایل، CRM یا جدول ثبت می‌شوند.,همه سرنخ‌ها با منبع، نیاز، وضعیت، مسئول و پیگیری بعدی ثبت می‌شوند.,تعیین استاندارد زمان پاسخ اولیه و اندازه‌گیری آن، ثبت همهٔ سرنخ‌ها در یک محل واحد (CRM/جدول) با منبع و وضعیت، تعیین مسئول و زمان پیگیری برای هر سرنخ، و تضمین اینکه هیچ سرنخی بدون اقدام بعدی رها نشود.,تمرکز ثبت سرنخ‌ها در یک محل واحد را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: سرنخ‌ها پراکنده و رهاشده. ۴–۶ ضعیف: ثبت و پاسخ ناقص. ۷–۹ متوسط: ثبت نسبی. ۱۰–۱۲ سالم: ثبت و مسئولیت مشخص. ۱۳–۱۵ پیشرفته: پاسخ استاندارد، ثبت کامل و پیگیری قابل ردیابی.,۰ بحرانی: پراکنده در دایرکت/واتساپ/حافظه. ۱ ضعیف: ثبت ناقص. ۲ متوسط: بیشتر در یک محل. ۳ پیشرفته: همه با منبع، نیاز، وضعیت و مسئول ثبت می‌شوند.,عارضهٔ عملیاتی پاسخ‌گویی و ثبت. ضعف یعنی پاسخ دیر و نامنظم، سرنخ‌های پراکنده و ثبت‌نشده، نبود مسئول مشخص و رهاشدن سرنخ بدون وضعیت. نتیجه: از دست رفتن لید گرم، گم‌شدن فرصت‌ها و بی‌کنترلی پیگیری.
آیا مشخص است چه کسی مسئول پیگیری هر سرنخ است؟,6,سرعت ارتباط اولیه و ثبت سرنخ,3,نه، مسئولیت‌ها مبهم است.,معمولاً معلوم است، اما گاهی سرنخ بین افراد گم می‌شود.,برای بیشتر سرنخ‌ها مسئول مشخص است.,مسئول، زمان پیگیری و وضعیت هر سرنخ کاملاً مشخص و قابل ردیابی است.,تعیین استاندارد زمان پاسخ اولیه و اندازه‌گیری آن، ثبت همهٔ سرنخ‌ها در یک محل واحد (CRM/جدول) با منبع و وضعیت، تعیین مسئول و زمان پیگیری برای هر سرنخ، و تضمین اینکه هیچ سرنخی بدون اقدام بعدی رها نشود.,روشن‌بودن مسئولیت پیگیری هر سرنخ را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: سرنخ‌ها پراکنده و رهاشده. ۴–۶ ضعیف: ثبت و پاسخ ناقص. ۷–۹ متوسط: ثبت نسبی. ۱۰–۱۲ سالم: ثبت و مسئولیت مشخص. ۱۳–۱۵ پیشرفته: پاسخ استاندارد، ثبت کامل و پیگیری قابل ردیابی.,۰ بحرانی: مسئولیت مبهم. ۱ ضعیف: گاهی سرنخ گم می‌شود. ۲ متوسط: برای بیشتر سرنخ‌ها مسئول مشخص. ۳ پیشرفته: مسئول، زمان و وضعیت کاملاً مشخص و قابل ردیابی.,عارضهٔ عملیاتی پاسخ‌گویی و ثبت. ضعف یعنی پاسخ دیر و نامنظم، سرنخ‌های پراکنده و ثبت‌نشده، نبود مسئول مشخص و رهاشدن سرنخ بدون وضعیت. نتیجه: از دست رفتن لید گرم، گم‌شدن فرصت‌ها و بی‌کنترلی پیگیری.
آیا سرنخ‌ها بدون پیگیری یا تعیین وضعیت رها می‌شوند؟,6,سرعت ارتباط اولیه و ثبت سرنخ,4,بله، زیاد پیش می‌آید.,گاهی پیش می‌آید، مخصوصاً وقتی کار زیاد می‌شود.,کمتر پیش می‌آید، اما هنوز کنترل کامل نداریم.,هیچ سرنخی بدون وضعیت و اقدام بعدی رها نمی‌شود.,تعیین استاندارد زمان پاسخ اولیه و اندازه‌گیری آن، ثبت همهٔ سرنخ‌ها در یک محل واحد (CRM/جدول) با منبع و وضعیت، تعیین مسئول و زمان پیگیری برای هر سرنخ، و تضمین اینکه هیچ سرنخی بدون اقدام بعدی رها نشود.,میزان رهاشدن سرنخ بدون وضعیت/اقدام را می‌سنجد (سؤال معکوس).,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: سرنخ‌ها پراکنده و رهاشده. ۴–۶ ضعیف: ثبت و پاسخ ناقص. ۷–۹ متوسط: ثبت نسبی. ۱۰–۱۲ سالم: ثبت و مسئولیت مشخص. ۱۳–۱۵ پیشرفته: پاسخ استاندارد، ثبت کامل و پیگیری قابل ردیابی.,۰ بحرانی: زیاد رها می‌شوند. ۱ ضعیف: گاهی، مخصوصاً در شلوغی. ۲ متوسط: کمتر، ولی کنترل کامل نیست. ۳ پیشرفته: هیچ سرنخی بدون وضعیت و اقدام بعدی رها نمی‌شود.,عارضهٔ عملیاتی پاسخ‌گویی و ثبت. ضعف یعنی پاسخ دیر و نامنظم، سرنخ‌های پراکنده و ثبت‌نشده، نبود مسئول مشخص و رهاشدن سرنخ بدون وضعیت. نتیجه: از دست رفتن لید گرم، گم‌شدن فرصت‌ها و بی‌کنترلی پیگیری.
آیا می‌دانید تأخیر در پاسخ‌گویی چقدر روی از دست رفتن مشتری اثر می‌گذارد؟,6,سرعت ارتباط اولیه و ثبت سرنخ,5,نه، نمی‌دانیم.,حدس می‌زنیم اثر دارد، اما عدد نداریم.,تا حدی ارتباط سرعت پاسخ و فروش را بررسی کرده‌ایم.,سرعت پاسخ را اندازه می‌گیریم و اثرش روی تبدیل را تحلیل می‌کنیم.,تعیین استاندارد زمان پاسخ اولیه و اندازه‌گیری آن، ثبت همهٔ سرنخ‌ها در یک محل واحد (CRM/جدول) با منبع و وضعیت، تعیین مسئول و زمان پیگیری برای هر سرنخ، و تضمین اینکه هیچ سرنخی بدون اقدام بعدی رها نشود.,آگاهی از اثر سرعت پاسخ بر نرخ تبدیل را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: سرنخ‌ها پراکنده و رهاشده. ۴–۶ ضعیف: ثبت و پاسخ ناقص. ۷–۹ متوسط: ثبت نسبی. ۱۰–۱۲ سالم: ثبت و مسئولیت مشخص. ۱۳–۱۵ پیشرفته: پاسخ استاندارد، ثبت کامل و پیگیری قابل ردیابی.,۰ بحرانی: نامشخص. ۱ ضعیف: حدس بدون عدد. ۲ متوسط: بررسی نسبی. ۳ پیشرفته: اندازه‌گیری سرعت پاسخ و تحلیل اثر آن بر تبدیل.,عارضهٔ عملیاتی پاسخ‌گویی و ثبت. ضعف یعنی پاسخ دیر و نامنظم، سرنخ‌های پراکنده و ثبت‌نشده، نبود مسئول مشخص و رهاشدن سرنخ بدون وضعیت. نتیجه: از دست رفتن لید گرم، گم‌شدن فرصت‌ها و بی‌کنترلی پیگیری.
آیا می‌دانید کدام سرنخ واقعاً مناسب کسب‌وکار شماست؟,7,صلاحیت‌سنجی و اولویت‌بندی سرنخ‌ها,1,نه، هرکسی پیام بدهد یا تماس بگیرد برایمان لید محسوب می‌شود.,به‌صورت ذهنی تشخیص می‌دهیم، اما معیار مشخص نداریم.,چند معیار برای تشخیص لید مناسب داریم.,معیارهای مشخص و مشترک برای تشخیص لید مناسب، نامناسب و بااولویت داریم.,تعریف معیارهای مشترک لید مناسب/نامناسب/بااولویت، استقرار فرایند صلاحیت‌سنجی (نیاز، بودجه، فوریت، اختیار، تناسب)، امتیازدهی و اولویت‌بندی لیدها و طراحی مسیر متفاوت برای لید سرد/گرم/آماده.,وجود معیار برای تشخیص لید مناسب کسب‌وکار را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: همه لید یکسان. ۴–۶ ضعیف: تشخیص ذهنی بدون معیار. ۷–۹ متوسط: چند معیار پایه. ۱۰–۱۲ سالم: صلاحیت‌سنجی نسبتاً منظم. ۱۳–۱۵ پیشرفته: معیار مشترک، امتیازدهی و مسیر تفکیک‌شده.,۰ بحرانی: هرکس پیام بدهد لید است. ۱ ضعیف: تشخیص ذهنی بدون معیار. ۲ متوسط: چند معیار. ۳ پیشرفته: معیار مشخص و مشترک برای مناسب/نامناسب/بااولویت.,عارضهٔ هدررفت منابع فروش. ضعف یعنی همه به یک چشم دیده می‌شوند، نیاز/بودجه/فوریت/اختیار بررسی نمی‌شود، لید باارزش اولویت نمی‌گیرد و وقت فروشنده روی لید نامناسب تلف می‌شود. نتیجه: چرخهٔ فروش طولانی، خستگی تیم و از دست رفتن لید خوب.
آیا قبل از صرف وقت زیاد، نیاز، بودجه، فوریت و اختیار تصمیم مشتری را بررسی می‌کنید؟,7,صلاحیت‌سنجی و اولویت‌بندی سرنخ‌ها,2,نه، معمولاً سریع وارد توضیح و فروش می‌شویم.,گاهی چند سؤال می‌پرسیم، اما ساختار ندارد.,بیشتر وقت‌ها چند معیار اصلی را بررسی می‌کنیم.,فرایند مشخصی برای بررسی نیاز، بودجه، فوریت، اختیار و تناسب داریم.,تعریف معیارهای مشترک لید مناسب/نامناسب/بااولویت، استقرار فرایند صلاحیت‌سنجی (نیاز، بودجه، فوریت، اختیار، تناسب)، امتیازدهی و اولویت‌بندی لیدها و طراحی مسیر متفاوت برای لید سرد/گرم/آماده.,وجود فرایند صلاحیت‌سنجی پیش از صرف وقت زیاد را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: همه لید یکسان. ۴–۶ ضعیف: تشخیص ذهنی بدون معیار. ۷–۹ متوسط: چند معیار پایه. ۱۰–۱۲ سالم: صلاحیت‌سنجی نسبتاً منظم. ۱۳–۱۵ پیشرفته: معیار مشترک، امتیازدهی و مسیر تفکیک‌شده.,۰ بحرانی: سریع وارد فروش می‌شویم. ۱ ضعیف: چند سؤال بدون ساختار. ۲ متوسط: بررسی چند معیار اصلی. ۳ پیشرفته: فرایند مشخص نیاز/بودجه/فوریت/اختیار/تناسب.,عارضهٔ هدررفت منابع فروش. ضعف یعنی همه به یک چشم دیده می‌شوند، نیاز/بودجه/فوریت/اختیار بررسی نمی‌شود، لید باارزش اولویت نمی‌گیرد و وقت فروشنده روی لید نامناسب تلف می‌شود. نتیجه: چرخهٔ فروش طولانی، خستگی تیم و از دست رفتن لید خوب.
آیا لیدهای باارزش‌تر سریع‌تر یا جدی‌تر پیگیری می‌شوند؟,7,صلاحیت‌سنجی و اولویت‌بندی سرنخ‌ها,3,نه، ترتیب پیگیری معمولاً اتفاقی یا بر اساس آخرین پیام است.,گاهی لیدهای مهم را تشخیص می‌دهیم، اما سیستم ندارد.,معمولاً لیدهای مهم‌تر اولویت می‌گیرند.,اولویت‌بندی لیدها ثبت‌شده و بر اساس امتیاز یا معیار مشخص انجام می‌شود.,تعریف معیارهای مشترک لید مناسب/نامناسب/بااولویت، استقرار فرایند صلاحیت‌سنجی (نیاز، بودجه، فوریت، اختیار، تناسب)، امتیازدهی و اولویت‌بندی لیدها و طراحی مسیر متفاوت برای لید سرد/گرم/آماده.,اولویت‌بندی پیگیری بر اساس ارزش لید را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: همه لید یکسان. ۴–۶ ضعیف: تشخیص ذهنی بدون معیار. ۷–۹ متوسط: چند معیار پایه. ۱۰–۱۲ سالم: صلاحیت‌سنجی نسبتاً منظم. ۱۳–۱۵ پیشرفته: معیار مشترک، امتیازدهی و مسیر تفکیک‌شده.,۰ بحرانی: ترتیب اتفاقی. ۱ ضعیف: تشخیص بدون سیستم. ۲ متوسط: معمولاً لید مهم‌تر اولویت دارد. ۳ پیشرفته: اولویت‌بندی ثبت‌شده و بر اساس امتیاز/معیار.,عارضهٔ هدررفت منابع فروش. ضعف یعنی همه به یک چشم دیده می‌شوند، نیاز/بودجه/فوریت/اختیار بررسی نمی‌شود، لید باارزش اولویت نمی‌گیرد و وقت فروشنده روی لید نامناسب تلف می‌شود. نتیجه: چرخهٔ فروش طولانی، خستگی تیم و از دست رفتن لید خوب.
آیا وقت فروشنده روی آدم‌های نامناسب زیاد مصرف می‌شود؟,7,صلاحیت‌سنجی و اولویت‌بندی سرنخ‌ها,4,بله، زیاد.,گاهی این اتفاق می‌افتد.,تا حدی کنترل می‌کنیم که وقت روی لیدهای مناسب‌تر صرف شود.,با صلاحیت‌سنجی، مسیر جدا و پاسخ آماده، اتلاف وقت روی لیدهای نامناسب کم شده است.,تعریف معیارهای مشترک لید مناسب/نامناسب/بااولویت، استقرار فرایند صلاحیت‌سنجی (نیاز، بودجه، فوریت، اختیار، تناسب)، امتیازدهی و اولویت‌بندی لیدها و طراحی مسیر متفاوت برای لید سرد/گرم/آماده.,میزان هدررفت وقت فروشنده روی لید نامناسب را می‌سنجد (سؤال معکوس).,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: همه لید یکسان. ۴–۶ ضعیف: تشخیص ذهنی بدون معیار. ۷–۹ متوسط: چند معیار پایه. ۱۰–۱۲ سالم: صلاحیت‌سنجی نسبتاً منظم. ۱۳–۱۵ پیشرفته: معیار مشترک، امتیازدهی و مسیر تفکیک‌شده.,۰ بحرانی: زیاد. ۱ ضعیف: گاهی. ۲ متوسط: تا حدی کنترل‌شده. ۳ پیشرفته: با صلاحیت‌سنجی و مسیر جدا، اتلاف وقت کم شده.,عارضهٔ هدررفت منابع فروش. ضعف یعنی همه به یک چشم دیده می‌شوند، نیاز/بودجه/فوریت/اختیار بررسی نمی‌شود، لید باارزش اولویت نمی‌گیرد و وقت فروشنده روی لید نامناسب تلف می‌شود. نتیجه: چرخهٔ فروش طولانی، خستگی تیم و از دست رفتن لید خوب.
آیا برای لیدهای سرد، گرم و آماده خرید مسیر متفاوتی دارید؟,7,صلاحیت‌سنجی و اولویت‌بندی سرنخ‌ها,5,نه، همه تقریباً یک مسیر دارند.,گاهی تفاوت قائل می‌شویم، اما مستند نیست.,برای برخی گروه‌ها مسیر متفاوت داریم.,برای هر سطح آمادگی، اقدام، پیام و زمان پیگیری مشخص داریم.,تعریف معیارهای مشترک لید مناسب/نامناسب/بااولویت، استقرار فرایند صلاحیت‌سنجی (نیاز، بودجه، فوریت، اختیار، تناسب)، امتیازدهی و اولویت‌بندی لیدها و طراحی مسیر متفاوت برای لید سرد/گرم/آماده.,وجود مسیر پیگیری متفاوت بر اساس سطح آمادگی را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: همه لید یکسان. ۴–۶ ضعیف: تشخیص ذهنی بدون معیار. ۷–۹ متوسط: چند معیار پایه. ۱۰–۱۲ سالم: صلاحیت‌سنجی نسبتاً منظم. ۱۳–۱۵ پیشرفته: معیار مشترک، امتیازدهی و مسیر تفکیک‌شده.,۰ بحرانی: همه یک مسیر. ۱ ضعیف: تفاوت غیرمستند. ۲ متوسط: مسیر متفاوت برای برخی گروه‌ها. ۳ پیشرفته: برای هر سطح اقدام، پیام و زمان پیگیری مشخص.,عارضهٔ هدررفت منابع فروش. ضعف یعنی همه به یک چشم دیده می‌شوند، نیاز/بودجه/فوریت/اختیار بررسی نمی‌شود، لید باارزش اولویت نمی‌گیرد و وقت فروشنده روی لید نامناسب تلف می‌شود. نتیجه: چرخهٔ فروش طولانی، خستگی تیم و از دست رفتن لید خوب.
وقتی مشتری پیام می‌دهد یا تماس می‌گیرد، اولین پاسخ شما چقدر حس حرفه‌ای بودن و توجه ایجاد می‌کند؟,8,کیفیت ارتباط اولیه و اعتمادسازی,1,پاسخ‌ها کوتاه، دیر یا صرفاً اطلاعاتی‌اند.,پاسخ‌ها محترمانه‌اند، اما اعتمادسازی خاصی انجام نمی‌شود.,بیشتر پاسخ‌ها هم محترمانه‌اند هم کمک‌کننده.,پاسخ اولیه سریع، انسانی، تشخیصی و اعتمادساز طراحی شده است.,طراحی پاسخ اولیهٔ سریع، انسانی و تشخیصی؛ ساخت چارچوب سؤال‌های اولیه برای فهم نیاز، بازتاب مسئلهٔ مشتری برای ایجاد حس فهمیده‌شدن، آماده‌کردن دارایی‌های اعتمادساز (نمونه/تجربه) و پایان هر مکالمه با قدم بعدی روشن.,کیفیت و حس اعتمادساز اولین پاسخ به مشتری را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: پاسخ خشک و بی‌اعتمادساز. ۴–۶ ضعیف: محترمانه ولی بدون اعتمادسازی. ۷–۹ متوسط: کمک‌کننده ولی ناهماهنگ. ۱۰–۱۲ سالم: ارتباط اولیهٔ اعتمادساز. ۱۳–۱۵ پیشرفته: پاسخ اولیهٔ تشخیصی، انسانی و طراحی‌شده.,۰ بحرانی: کوتاه، دیر یا صرفاً اطلاعاتی. ۱ ضعیف: محترمانه ولی بدون اعتمادسازی. ۲ متوسط: محترمانه و کمک‌کننده. ۳ پیشرفته: سریع، انسانی، تشخیصی و اعتمادساز.,عارضهٔ کیفیت تماس اولیه. ضعف یعنی پاسخ خشک و صرفاً اطلاعاتی، نپرسیدن سؤال درست، نبود حس فهمیده‌شدن، نبود نشانهٔ اعتماد و نامشخص‌بودن قدم بعدی. نتیجه: لید گرم سرد می‌شود و اعتماد باید از صفر ساخته شود.
آیا در اولین ارتباط فقط جواب می‌دهید یا سؤال درست هم می‌پرسید؟,8,کیفیت ارتباط اولیه و اعتمادسازی,2,بیشتر فقط قیمت، شرایط یا توضیح محصول را می‌گوییم.,گاهی سؤال می‌پرسیم، اما بستگی به فرد دارد.,معمولاً چند سؤال ساده برای فهم نیاز می‌پرسیم.,چارچوب مشخصی برای پرسیدن سؤال‌های اولیه و فهم مسئله مشتری داریم.,طراحی پاسخ اولیهٔ سریع، انسانی و تشخیصی؛ ساخت چارچوب سؤال‌های اولیه برای فهم نیاز، بازتاب مسئلهٔ مشتری برای ایجاد حس فهمیده‌شدن، آماده‌کردن دارایی‌های اعتمادساز (نمونه/تجربه) و پایان هر مکالمه با قدم بعدی روشن.,میزان فعال‌بودن و سؤال‌محوربودن ارتباط اولیه را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: پاسخ خشک و بی‌اعتمادساز. ۴–۶ ضعیف: محترمانه ولی بدون اعتمادسازی. ۷–۹ متوسط: کمک‌کننده ولی ناهماهنگ. ۱۰–۱۲ سالم: ارتباط اولیهٔ اعتمادساز. ۱۳–۱۵ پیشرفته: پاسخ اولیهٔ تشخیصی، انسانی و طراحی‌شده.,۰ بحرانی: فقط قیمت/توضیح محصول. ۱ ضعیف: سؤال وابسته به فرد. ۲ متوسط: چند سؤال ساده برای فهم نیاز. ۳ پیشرفته: چارچوب مشخص سؤال‌های اولیه.,عارضهٔ کیفیت تماس اولیه. ضعف یعنی پاسخ خشک و صرفاً اطلاعاتی، نپرسیدن سؤال درست، نبود حس فهمیده‌شدن، نبود نشانهٔ اعتماد و نامشخص‌بودن قدم بعدی. نتیجه: لید گرم سرد می‌شود و اعتماد باید از صفر ساخته شود.
آیا مشتری در همان ارتباط اول حس می‌کند مشکلش فهمیده شده؟,8,کیفیت ارتباط اولیه و اعتمادسازی,3,نه، معمولاً مکالمه عمومی و سطحی است.,گاهی این حس ایجاد می‌شود.,در بیشتر مکالمه‌ها تلاش می‌کنیم مسئله مشتری را بازتاب دهیم.,پاسخ‌ها طوری طراحی شده‌اند که مشتری حس فهمیده‌شدن و اعتماد بگیرد.,طراحی پاسخ اولیهٔ سریع، انسانی و تشخیصی؛ ساخت چارچوب سؤال‌های اولیه برای فهم نیاز، بازتاب مسئلهٔ مشتری برای ایجاد حس فهمیده‌شدن، آماده‌کردن دارایی‌های اعتمادساز (نمونه/تجربه) و پایان هر مکالمه با قدم بعدی روشن.,ایجاد حس درک‌شدن مشتری در همان تماس اول را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: پاسخ خشک و بی‌اعتمادساز. ۴–۶ ضعیف: محترمانه ولی بدون اعتمادسازی. ۷–۹ متوسط: کمک‌کننده ولی ناهماهنگ. ۱۰–۱۲ سالم: ارتباط اولیهٔ اعتمادساز. ۱۳–۱۵ پیشرفته: پاسخ اولیهٔ تشخیصی، انسانی و طراحی‌شده.,۰ بحرانی: مکالمهٔ عمومی و سطحی. ۱ ضعیف: گاهی این حس ایجاد می‌شود. ۲ متوسط: تلاش برای بازتاب مسئله. ۳ پیشرفته: پاسخ‌ها برای ایجاد حس فهمیده‌شدن طراحی شده‌اند.,عارضهٔ کیفیت تماس اولیه. ضعف یعنی پاسخ خشک و صرفاً اطلاعاتی، نپرسیدن سؤال درست، نبود حس فهمیده‌شدن، نبود نشانهٔ اعتماد و نامشخص‌بودن قدم بعدی. نتیجه: لید گرم سرد می‌شود و اعتماد باید از صفر ساخته شود.
آیا در ارتباط اولیه از نشانه‌های اعتماد مثل نمونه، تجربه، توضیح کوتاه یا مسیر روشن استفاده می‌کنید؟,8,کیفیت ارتباط اولیه و اعتمادسازی,4,نه، معمولاً فقط جواب سؤال را می‌دهیم.,گاهی نمونه یا توضیح اضافه می‌دهیم.,در بیشتر مکالمه‌ها یک نشانه اعتمادساز وجود دارد.,برای ارتباط اولیه دارایی‌های اعتمادساز آماده و قابل استفاده داریم.,طراحی پاسخ اولیهٔ سریع، انسانی و تشخیصی؛ ساخت چارچوب سؤال‌های اولیه برای فهم نیاز، بازتاب مسئلهٔ مشتری برای ایجاد حس فهمیده‌شدن، آماده‌کردن دارایی‌های اعتمادساز (نمونه/تجربه) و پایان هر مکالمه با قدم بعدی روشن.,استفاده از نشانه‌های اعتماد (نمونه/تجربه/مسیر روشن) در ارتباط اولیه را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: پاسخ خشک و بی‌اعتمادساز. ۴–۶ ضعیف: محترمانه ولی بدون اعتمادسازی. ۷–۹ متوسط: کمک‌کننده ولی ناهماهنگ. ۱۰–۱۲ سالم: ارتباط اولیهٔ اعتمادساز. ۱۳–۱۵ پیشرفته: پاسخ اولیهٔ تشخیصی، انسانی و طراحی‌شده.,۰ بحرانی: فقط جواب سؤال. ۱ ضعیف: گاهی نمونه/توضیح. ۲ متوسط: معمولاً یک نشانهٔ اعتمادساز. ۳ پیشرفته: دارایی‌های اعتمادساز آماده و قابل استفاده.,عارضهٔ کیفیت تماس اولیه. ضعف یعنی پاسخ خشک و صرفاً اطلاعاتی، نپرسیدن سؤال درست، نبود حس فهمیده‌شدن، نبود نشانهٔ اعتماد و نامشخص‌بودن قدم بعدی. نتیجه: لید گرم سرد می‌شود و اعتماد باید از صفر ساخته شود.
آیا بعد از پاسخ اولیه، قدم بعدی برای مشتری روشن است؟,8,کیفیت ارتباط اولیه و اعتمادسازی,5,نه، مکالمه معمولاً باز و نامشخص می‌ماند.,گاهی قدم بعدی گفته می‌شود.,در بیشتر موارد قدم بعدی مشخص است.,هر پاسخ اولیه با قدم بعدی روشن، ساده و متناسب با وضعیت مشتری تمام می‌شود.,طراحی پاسخ اولیهٔ سریع، انسانی و تشخیصی؛ ساخت چارچوب سؤال‌های اولیه برای فهم نیاز، بازتاب مسئلهٔ مشتری برای ایجاد حس فهمیده‌شدن، آماده‌کردن دارایی‌های اعتمادساز (نمونه/تجربه) و پایان هر مکالمه با قدم بعدی روشن.,روشن‌بودن قدم بعدی پس از پاسخ اولیه را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: پاسخ خشک و بی‌اعتمادساز. ۴–۶ ضعیف: محترمانه ولی بدون اعتمادسازی. ۷–۹ متوسط: کمک‌کننده ولی ناهماهنگ. ۱۰–۱۲ سالم: ارتباط اولیهٔ اعتمادساز. ۱۳–۱۵ پیشرفته: پاسخ اولیهٔ تشخیصی، انسانی و طراحی‌شده.,۰ بحرانی: مکالمه باز و نامشخص. ۱ ضعیف: گاهی قدم بعدی گفته می‌شود. ۲ متوسط: در بیشتر موارد مشخص. ۳ پیشرفته: هر پاسخ با قدم بعدی روشن تمام می‌شود.,عارضهٔ کیفیت تماس اولیه. ضعف یعنی پاسخ خشک و صرفاً اطلاعاتی، نپرسیدن سؤال درست، نبود حس فهمیده‌شدن، نبود نشانهٔ اعتماد و نامشخص‌بودن قدم بعدی. نتیجه: لید گرم سرد می‌شود و اعتماد باید از صفر ساخته شود.
